gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
lcl|NW_015622507.1_cds_XP_016223705.1_7392	354.6167925393993	4.898898615471803	0.32103257558137693	15.259817813192624	1.4164324037313934e-52	1.210624775469222e-48
lcl|NW_015622507.1_cds_XP_016223701.1_7387	3592.6321121528736	5.027555365960548	0.3659070867048129	13.739978121867892	5.849346584672682e-43	2.4997182629598705e-39
lcl|NW_015622509.1_cds_XP_016220776.1_9843	348.58945022812514	6.796782738591232	0.5004278116662432	13.581944448611699	5.124763461073544e-42	1.4600451100598528e-38
lcl|NW_015622507.1_cds_XP_016223702.1_7388	8340.367446781911	6.742184063320691	0.5326057573159704	12.658864405254382	9.993445941395874e-37	2.1353495615277635e-33
lcl|NW_015622506.1_cds_XP_016223981.1_4172	289.71160674640885	-2.743059208050033	0.22581516131516463	-12.147365093088737	5.924429266725251e-34	1.0127219388540144e-30
lcl|NW_015622507.1_cds_XP_016223333.1_7019	19679.659538660842	4.299184102926415	0.36073440980535965	11.917865293876769	9.552480923454023e-33	1.3607509075460256e-29
lcl|NW_015622504.1_cds_XP_016228435.1_765	581.3148356836424	-5.525569741628337	0.4896530079020335	-11.284664144724006	1.5623717267759196e-29	1.9076558783933978e-26
lcl|NW_015622507.1_cds_XP_016223706.1_7391	115.615194835398	4.875486244987629	0.4484594918577248	10.871631292251458	1.5736174023961765e-27	1.681213492285015e-24
lcl|NW_015622507.1_cds_XP_016223274.1_6960	6274.569227827878	2.0555096480991284	0.19344765222711546	10.62566345176356	2.263965767695917e-26	2.1500128240552224e-23
lcl|NW_015622506.1_cds_XP_016224982.1_5173	1124.075862550638	-3.0866186721213813	0.3082554497068425	-10.01318443861032	1.3338845294788424e-23	1.0364282794050605e-20
lcl|NW_015622509.1_cds_XP_016220309.1_9377	4124.083361067238	2.5919640910691273	0.2588429530192922	10.013655233163492	1.3275498144752902e-23	1.0364282794050605e-20
lcl|NW_015622508.1_cds_XP_016221999.1_8646	1071.9037438477683	-3.70570795144888	0.3737451867565698	-9.915065351363324	3.580220801323792e-23	2.550012265742871e-20
lcl|NW_015622510.1_cds_XP_016219669.1_10104	2247.524927216638	-3.2526996125140655	0.33040854606562126	-9.844477847943008	7.241426019447462e-23	4.7609590914013427e-20
lcl|NW_015622508.1_cds_XP_016221707.1_8354	1283.3953559508366	-3.8224259748338567	0.3993978905234354	-9.570471115469172	1.0641962402044333e-21	6.496918046448066e-19
lcl|NW_015622508.1_cds_XP_016221431.1_8078	6464.1014646881895	2.240141633893764	0.24201942018037198	9.25604082608013	2.121532216630705e-20	1.2088490570361756e-17
lcl|NW_015622507.1_cds_XP_016223278.1_6964	113.71730934507384	4.852573869436166	0.5301142117530088	9.153827159980162	5.495145637602896e-20	2.935438110286997e-17
lcl|NW_015622505.1_cds_XP_016226815.1_3276	531.6607274749502	-3.5857659620866995	0.399810466929371	-8.968664551546489	3.001311022564178e-19	1.5089532535209428e-16
lcl|NW_015622504.1_cds_XP_016228147.1_477	2074.733875257349	-3.78956115213906	0.42786457380643766	-8.856917314807712	8.225750181340453e-19	3.9058603777731584e-16
lcl|NW_015622504.1_cds_XP_016229691.1_2021	5095.913836150293	-3.3424410380639653	0.3786800267951373	-8.826557519687189	1.079468441249948e-18	4.855903561770161e-16
lcl|NW_015622506.1_cds_XP_016224286.1_4477	1422.744477244099	-4.382615550456862	0.5089638277322462	-8.610858594773166	7.25153921885804e-18	3.098945285178983e-15
lcl|NW_015622510.1_cds_XP_016219731.1_10166	392.61950954905757	-2.700950411852432	0.32361399630245963	-8.346210122902226	7.048835319523553e-17	2.868875975046086e-14
lcl|NW_015622508.1_cds_XP_016221376.1_8023	184.49796801063098	-9.220812429359253	1.1254160321893967	-8.19324779959015	2.542699261656975e-16	9.878386631537347e-14
lcl|NW_015622506.1_cds_XP_016225323.1_5514	164.67021134956957	-3.3292248526299217	0.40734962486506526	-8.172892889573003	3.010812684424382e-16	1.118844174511965e-13
lcl|NW_015622509.1_cds_XP_016220281.1_9349	506.0153190328394	-1.890937674986699	0.2400054942054554	-7.878726615183118	3.307342269972268e-15	1.177827265893874e-12
lcl|NW_015622505.1_cds_XP_016226633.1_3094	1194.7051304079591	-3.234641181132674	0.4132979893550166	-7.826414026791133	5.019823077481671e-15	1.7161771137294338e-12
lcl|NW_015622504.1_cds_XP_016228703.1_1033	19984.149329256008	-2.3763062571516165	0.30674001721933636	-7.74697177985885	9.410986072529013e-15	2.9790999245150174e-12
lcl|NW_015622507.1_cds_XP_016223332.1_7018	4037.503713458059	3.745517150026187	0.48341125331595103	7.748096727856205	9.328007579237363e-15	2.9790999245150174e-12
lcl|NW_015622509.1_cds_XP_016220586.1_9654	3074.6380245658074	-2.9568073687429215	0.3822574947828563	-7.735119413217925	1.033060926568001e-14	3.153418478348823e-12
lcl|NW_015622506.1_cds_XP_016224218.1_4409	449.81360292579615	-6.773934569315711	0.8850904350449501	-7.653381282977813	1.957623646375148e-14	5.769589415713238e-12
lcl|NW_015622504.1_cds_XP_016229650.1_1980	2147.9027034732358	2.2730531092184885	0.3005560377311821	7.562826308122652	3.944041135897245e-14	1.123657319617125e-11
lcl|NW_015622506.1_cds_XP_016224687.1_4878	8522.02947364902	2.8124816044682652	0.3739901978378662	7.520201386902509	5.469193219405812e-14	1.507909498266499e-11
lcl|NW_015622505.1_cds_XP_016227032.1_3493	640.0647315585494	-2.574194378801678	0.3456925902589225	-7.446484105643154	9.586057959511901e-14	2.560376168123382e-11
lcl|NW_015622508.1_cds_XP_016221627.1_8274	412.59912156442147	1.8735951111097422	0.25323256148797973	7.398713262230602	1.375104148828058e-13	3.561519745464671e-11
lcl|NW_015622507.1_cds_XP_016222868.1_6554	186.14101867238386	10.093586390891554	1.3725485314204484	7.35390127185209	1.925039428545765e-13	4.8392094105237214e-11
lcl|NW_015622507.1_cds_XP_016223827.1_7513	279.48840692956395	1.9957419658006386	0.27235477439569583	7.327728952902756	2.340855444507299e-13	5.7163689954868234e-11
lcl|NW_015622505.1_cds_XP_016226153.1_2614	1337.1914524140218	2.90191013929104	0.3973979087070552	7.3022783354157115	2.829352002475226e-13	6.70528688177325e-11
lcl|NW_015622506.1_cds_XP_016224333.1_4525	9343.779390385602	3.8555440683747024	0.5282410950696318	7.298834006594038	2.9027215938412334e-13	6.70528688177325e-11
lcl|NW_015622505.1_cds_XP_016227048.1_3509	4702.284948199915	1.5355906165639834	0.21355430739812953	7.190632843107117	6.44916938540465e-13	1.450553966764567e-10
lcl|NW_015622509.1_cds_XP_016220203.1_9271	2095.553908893344	-2.5736492559695856	0.35822609728330945	-7.184427029430437	6.748961534598823e-13	1.479060877851696e-10
lcl|NW_015622505.1_cds_XP_016226458.1_2919	83.82213833539532	4.8067722332759235	0.6727459347937077	7.145003759479993	8.999342649779511e-13	1.922934540691637e-10
lcl|NW_015622505.1_cds_XP_016226165.1_2626	2256.4861999769087	-2.8992152477623487	0.4123135473836165	-7.031578918906876	2.0420930578390986e-12	4.257016918378238e-10
lcl|NW_015622505.1_cds_XP_016227497.1_3958	4923.535519351211	2.7263559872708947	0.38792397221786945	7.028067823918068	2.0941310603127534e-12	4.2615567077364533e-10
lcl|NW_015622504.1_cds_XP_016228146.1_476	7196.504672346163	-3.3531761291638205	0.47821914169194624	-7.011798225600579	2.3527435022022996e-12	4.567818632591352e-10
lcl|NW_015622504.1_cds_XP_016229638.1_1968	2725.345836211507	1.289336874829077	0.18387323205819783	7.012096651572363	2.3477292057462768e-12	4.567818632591352e-10
lcl|NW_015622509.1_cds_XP_016220758.1_9826	262.8656370562833	1.907387093073799	0.27214457720713753	7.0087271723295395	2.4049589150182618e-12	4.567818632591352e-10
lcl|NW_015622507.1_cds_XP_016223598.1_7284	406.3597229844474	-2.71623901713843	0.39389687557185815	-6.895812547878181	5.355778042754651e-12	9.951268463353044e-10
lcl|NW_015622509.1_cds_XP_016220186.1_9254	204.20187713697678	1.6719724145054666	0.24467626448465965	6.833406656861452	8.292145957763889e-12	1.5079355638512331e-9
lcl|NW_015622504.1_cds_XP_016228539.1_869	335.2739373856362	3.058542891926436	0.44799017767318733	6.827254355915073	8.655515558133186e-12	1.5412227390700904e-9
lcl|NW_015622509.1_cds_XP_016220201.1_9269	2479.5525011189034	-3.311656557566912	0.48961965227021614	-6.763732914338255	1.3448089863034253e-11	2.3457311032521175e-9
lcl|NW_015622504.1_cds_XP_016229558.1_1888	429.42145629816883	-1.8025872721639806	0.2672744171235817	-6.744331506036003	1.5373317571838306e-11	2.62791490573004e-9
lcl|NW_015622504.1_cds_XP_016229696.1_2026	740.264135978206	-3.260584324555877	0.48376166444446145	-6.74006347381875	1.5831745409583952e-11	2.653214274817922e-9
lcl|NW_015622504.1_cds_XP_016227922.1_252	2131.076118275034	1.9866465376106412	0.2958609369303486	6.714798371906516	1.8832644572490764e-11	3.09543486848228e-9
lcl|NW_015622507.1_cds_XP_016223269.1_6955	449.65673701911925	1.8466671877958816	0.2769269118632796	6.668428053347129	2.5855774583126235e-11	4.169609535131697e-9
lcl|NW_015622507.1_cds_XP_016222438.1_6124	1021.3063520845632	1.715978044412277	0.25821289261645697	6.645593978768319	3.0199669510922716e-11	4.779936579812156e-9
lcl|NW_015622507.1_cds_XP_016222247.1_5933	601.1511541615539	1.5904160893419592	0.24114127967849294	6.595370529104007	4.241950849452805e-11	6.474277483977343e-9
lcl|NW_015622507.1_cds_XP_016223920.1_7606	604.3674939810587	2.1646056416677317	0.32817405316744686	6.595907326540736	4.226628932575048e-11	6.474277483977343e-9
lcl|NW_015622509.1_cds_XP_016220853.1_9921	891.5453821002047	2.0157167915647194	0.3065466277914758	6.575563417829811	4.846927912167036e-11	7.2678408535599395e-9
lcl|NW_015622509.1_cds_XP_016220893.1_9961	1077.1079808686306	-2.145010913165384	0.3265417230911403	-6.568872402767026	5.069770321842138e-11	7.470918438066337e-9
lcl|NW_015622505.1_cds_XP_016226194.1_2655	119127.71496179486	4.461669078340105	0.6927215448406945	6.440782896923117	1.1885878903954136e-10	1.7218407964762033e-8
lcl|NW_015622505.1_cds_XP_016226275.1_2735	768.0483570889644	1.2560449575030193	0.19531410463621657	6.430897347851417	1.2685281112010803e-10	1.8070182944059388e-8
lcl|NW_015622509.1_cds_XP_016220759.1_9827	20342.45335704298	-2.866521815585579	0.4495876489302155	-6.375890935630479	1.8190234588655072e-10	2.5487202463809e-8
lcl|NW_015622505.1_cds_XP_016226231.1_2692	305.1623161509703	2.1347638287531305	0.3350841573602675	6.370828885407221	1.8800931193217258e-10	2.5917993372327078e-08
lcl|NW_015622505.1_cds_XP_016227517.1_3978	298.0815108222862	-1.9131356709904666	0.30061586713131516	-6.364054197294815	1.964967529615335e-10	2.665805948511471e-8
lcl|NW_015622508.1_cds_XP_016221521.1_8168	398.65108631883015	2.3790901106025424	0.3752146493309879	6.340610940549596	2.2885580507230582e-10	3.056297759301559e-8
lcl|NW_015622505.1_cds_XP_016227460.1_3921	305.11049633746956	2.575894574779395	0.4079687477164911	6.313950735681	2.7200055713794624e-10	3.576598095166195e-8
lcl|NW_015622507.1_cds_XP_016222991.1_6677	366.89688427246085	2.545979128152512	0.40769676955461004	6.244786121150475	4.24380412203081e-10	5.495726338029899e-8
lcl|NW_015622506.1_cds_XP_016224875.1_5066	2968.0820898149173	1.2257971651572883	0.19744962292483625	6.2081514616207505	5.361146846414167e-10	6.839062999448043e-8
lcl|NW_015622508.1_cds_XP_016222167.1_8814	63.76165567016818	9.255383823638862	1.4981958568341347	6.177686169281355	6.504785134126579e-10	8.175940961967628e-8
lcl|NW_015622505.1_cds_XP_016227386.1_3847	208.77765328275206	1.850660709628723	0.3001854397339125	6.16505820958261	7.045721692665401e-10	8.727504827132056e-8
lcl|NW_015622509.1_cds_XP_016220761.1_9828	6848.865317529307	-3.328609541248225	0.5436021716177519	-6.1232454817874125	9.168826605314501e-10	1.1195137285089005e-7
lcl|NW_015622505.1_cds_XP_016226632.1_3093	1677.3575626387621	-3.311947998645203	0.5427187088866107	-6.102513041128941	1.04413587766069e-9	1.2569337107557628e-7
lcl|NW_015622508.1_cds_XP_016221307.1_7954	1162.1496355615866	2.142552217398229	0.3523578088888124	6.080615111539412	1.1972236492805608e-9	1.4212042403334656e-7
lcl|NW_015622504.1_cds_XP_016228544.1_874	162.22012732493135	3.2568982776109907	0.536875120803188	6.066398220760411	1.308105567211942e-9	1.531558668898694e-7
lcl|NW_015622509.1_cds_XP_016220416.1_9484	236.97956351429085	-2.3241087579894977	0.3839873212552846	-6.052566398264933	1.4255620818248512e-9	1.6465242045077031e-7
lcl|NW_015622504.1_cds_XP_016228546.1_876	153.65908955476644	3.3822598136193025	0.5622995403854687	6.0150499345965835	1.7983125797391621e-9	2.049357015870749e-7
lcl|NW_015622506.1_cds_XP_016224939.1_5130	2298.3618079838184	2.9756263219372747	0.4950168276881904	6.011161955511566	1.8419827201196953e-9	2.0715034616925048e-7
lcl|NW_015622508.1_cds_XP_016221542.1_8189	686.2180459536546	-1.1622616071681113	0.19396391446334219	-5.992153800276961	2.07079938600999e-9	2.2985873184710889e-7
lcl|NW_015622507.1_cds_XP_016223487.1_7173	344.4456134472457	-2.099086872961046	0.35160622105677813	-5.969993553163215	2.372629622606407e-9	2.5998545364637133e-7
lcl|NW_015622508.1_cds_XP_016221083.1_7730	1329.6348450834826	-2.0200445047040043	0.33945704760500506	-5.950810327716466	2.668181504359188e-9	2.8867021921212633e-7
lcl|NW_015622505.1_cds_XP_016226308.1_2769	100.56407692462358	-3.5930440951612415	0.6061936642027136	-5.927221459641837	3.0810334066732373e-9	3.251060805782242e-7
lcl|NW_015622507.1_cds_XP_016222327.1_6013	13646.93532773314	-2.1071682416767725	0.35547521058298664	-5.927750174818023	3.0711325091323493e-9	3.251060805782242e-7
lcl|NW_015622506.1_cds_XP_016224544.1_4735	104.85608118159328	2.6088963380637167	0.44240538593831635	5.897071828206607	3.7000882148798994e-9	3.856665118607134e-7
lcl|NW_015622504.1_cds_XP_016228702.1_1032	1599.1704661081246	-2.2932498518929307	0.38952929814113896	-5.887233291145183	3.927141926228358e-9	4.0440098847558764e-7
lcl|NW_015622508.1_cds_XP_016221730.1_8377	66.48701801017371	-22.98955624728532	3.908470754942803	-5.881982414275927	4.053814223155371e-9	4.12475597206059e-7
lcl|NW_015622504.1_cds_XP_016227993.1_323	1286.470553644856	-2.172564376741202	0.37308381460170087	-5.823260864480551	5.771036866756824e-9	5.80294730590242e-7
lcl|NW_015622505.1_cds_XP_016226056.1_2517	499.9726912733476	1.3120254072311641	0.2261198580964728	5.802344908032781	6.539387141141438e-9	6.49908626689952e-7
lcl|NW_015622505.1_cds_XP_016227591.1_4052	74.68595571087626	-22.669305759539736	3.9086736894876926	-5.799743739291521	6.641633678196034e-9	6.524832534200173e-7
lcl|NW_015622504.1_cds_XP_016228504.1_834	263.11189397834556	-1.2416925635970792	0.21550726363905254	-5.761720243809311	8.326092299092483e-9	8.086717145493574e-7
lcl|NW_015622505.1_cds_XP_016226715.1_3176	35.70702637362918	-22.367577953286506	3.909389248315655	-5.721501884961567	1.0558648654115253e-8	1.0139861803002592e-6
lcl|NW_015622506.1_cds_XP_016224391.1_4582	723.913180762498	1.174687816130948	0.20654890490202996	5.687213963628248	1.2912863131827793e-8	1.2262915687525794e-6
lcl|NW_015622504.1_cds_XP_016229719.1_2049	955.7683230936219	2.352131229035522	0.41461602197850683	5.67303505979191	1.4028950399278905e-8	1.3176421875015034e-6
lcl|NW_015622504.1_cds_XP_016227826.1_156	33.4259306750697	-22.097528262815228	3.910113280089085	-5.651378024094425	1.5916661509312614e-8	1.4786924556532055e-6
lcl|NW_015622508.1_cds_XP_016222143.1_8790	6695.892821244651	2.3026870986086387	0.40906526394417275	5.62914356600784	1.8110661030477093e-8	1.66442817018804e-6
lcl|NW_015622507.1_cds_XP_016222933.1_6619	552.0068052085267	2.0554928311410814	0.3663597677437078	5.610585583128305	2.0164311946791086e-8	1.7952538980127439e-6
lcl|NW_015622507.1_cds_XP_016223683.1_7369	1801.220929335082	1.2608506737459162	0.22470233414761623	5.61120416718774	2.009235398155097e-8	1.7952538980127439e-6
lcl|NW_015622509.1_cds_XP_016220339.1_9407	59.58012755719804	2.2042781839752883	0.3927604108696659	5.612271815009275	1.9968743885720988e-8	1.7952538980127439e-6
lcl|NW_015622504.1_cds_XP_016228941.1_1271	54.43383125114627	8.884409350619162	1.589374645474007	5.589877362092637	2.2723003845804027e-8	2.0022011739184226e-6
lcl|NW_015622506.1_cds_XP_016224840.1_5031	70.87456407081454	2.2804886761948047	0.408338223490808	5.5848033443926175	2.3396480773829644e-8	2.040507358917571e-6
lcl|NW_015622504.1_cds_XP_016229323.1_1653	93.24639900099085	-2.0327783691379153	0.3681678062184695	-5.521336561219238	3.364306609244122e-8	2.904518039314092e-6
lcl|NW_015622509.1_cds_XP_016220202.1_9270	1674.6307188681678	-3.4626651637537105	0.6319991090964489	-5.47890829894394	4.279580726385844e-8	3.657757646841981e-6
lcl|NW_015622509.1_cds_XP_016220567.1_9635	138.32302747453494	1.5817726605739009	0.2888992202936594	5.475171095879267	4.370890865205373e-8	3.662549433814738e-6
lcl|NW_015622509.1_cds_XP_016220667.1_9735	4541.074066423266	-1.2048180053904647	0.2200478467522655	-5.475254691980123	4.3688278824349216e-8	3.662549433814738e-6
lcl|NW_015622507.1_cds_XP_016223936.1_7622	3057.6462498241435	-1.7787219155869487	0.32555485974524895	-5.463662612743126	4.6640961562426494e-8	3.870294159942322e-6
lcl|NW_015622504.1_cds_XP_016228041.1_371	1458.636385020706	1.5252440228287305	0.27936067527563424	5.459766380231692	4.767615145826619e-8	3.9181544857096256e-6
lcl|NW_015622505.1_cds_XP_016226935.1_3396	183.52350874567298	2.8799372549308204	0.5291129316982801	5.442953824029892	5.2404234846297576e-8	4.265704716488623e-6
lcl|NW_015622505.1_cds_XP_016227472.1_3933	534.5333960828152	2.558095273882068	0.4704461010386922	5.437594802537593	5.4004617123050574e-8	4.354504363685974e-6
lcl|NW_015622504.1_cds_XP_016228008.1_338	122.32002624921277	-1.4089666016683995	0.2604769056660212	-5.4091805109008435	6.331378979714096e-8	5.0574108541697546e-6
lcl|NW_015622507.1_cds_XP_016223708.1_7394	4648.56604848348	1.2323251652096014	0.22839719400233613	5.395535486294095	6.831948765584629e-8	5.406728342541836e-6
lcl|NW_015622504.1_cds_XP_016228674.1_1004	250.10345118459804	1.402035809431743	0.2601983798958073	5.388334124113948	7.111375402659864e-8	5.565351901959403e-6
lcl|NW_015622506.1_cds_XP_016224839.1_5030	58.99427316432053	3.3334295081620358	0.6187864607588586	5.387043381773466	7.162615060436812e-8	5.565351901959403e-6
lcl|NW_015622505.1_cds_XP_016227291.1_3753	349.29237142475563	2.4221057277018856	0.4512012313641695	5.368127476910579	7.955831522153107e-8	6.071557690859286e-6
lcl|NW_015622507.1_cds_XP_016223180.1_6866	168.88972684118215	2.947637935248612	0.5491006410054965	5.368119639873278	7.956177154279163e-8	6.071557690859286e-6
lcl|NW_015622508.1_cds_XP_016222227.1_8874	2627.3760819624304	2.11498894299015	0.3956417577627404	5.345717183519523	9.005973697711834e-8	6.811863468525934e-6
lcl|NW_015622507.1_cds_XP_016223290.1_6976	94.72166386176396	2.6831707812946117	0.5023162407256845	5.341596714886817	9.213143962724186e-8	6.907433460474001e-6
lcl|NW_015622508.1_cds_XP_016221867.1_8514	266.07218166426316	-5.198265328099351	0.9750091845431955	-5.331503959662499	9.740269708840623e-8	7.239137843605287e-6
lcl|NW_015622506.1_cds_XP_016223983.1_4174	342.105966498934	2.2498920381078604	0.4223054389823066	5.327641631918751	9.949618847094492e-8	7.330982093630743e-6
lcl|NW_015622509.1_cds_XP_016220157.1_9225	155.48791272752652	1.4134341365898313	0.2654772181990175	5.324125912492564	1.0143962633288848e-7	7.410294754420495e-6
lcl|NW_015622504.1_cds_XP_016229425.1_1755	334.5829082242825	2.392937190989695	0.45013511869970435	5.316041987352867	1.0604868881626295e-7	7.6813401975644e-6
lcl|NW_015622504.1_cds_XP_016229364.1_1694	327.5982934057233	-1.791967893831538	0.3373969634842461	-5.311155960996696	1.0893205560002893e-7	7.823884699272667e-6
lcl|NW_015622505.1_cds_XP_016226252.1_2713	568.6801567665909	-1.779170045175244	0.3353451770068161	-5.3054886939348505	1.1237153324330915e-7	8.003662455254693e-6
lcl|NW_015622506.1_cds_XP_016224462.1_4653	5368.71673193579	1.7139583634872282	0.32324023380022365	5.302428919001859	1.1427196602651527e-7	8.071756145691125e-6
lcl|NW_015622504.1_cds_XP_016229578.1_1908	1368.778369713255	1.7594208167250032	0.33333219482834037	5.2782804782210455	1.3040176196220228e-7	9.135605405663467e-6
lcl|NW_015622505.1_cds_XP_016226377.1_2838	215.23272603648712	-2.3941741874586304	0.4552859695393543	-5.258616227249413	1.451434374293672e-7	1.0068593008423607e-5
